,Prize-Pub_year,paper_count
0,1,16
1,2,17
2,3,28
3,4,29
4,5,29
5,6,24
6,7,20
7,8,30
8,9,42
9,10,13
10,11,39
11,12,23
12,13,29
13,14,31
14,15,28
15,16,36
16,17,25
17,18,22
18,19,19
19,20,18
20,21,31
21,22,15
22,23,16
23,24,14
24,25,13
25,26,11
26,27,6
27,28,12
28,29,8
29,30,6
30,31,12
31,32,14
32,33,12
33,34,12
34,35,4
35,36,11
36,37,4
37,38,7
38,39,2
39,40,3
40,41,3
41,42,10
42,43,6
43,45,1
44,46,3
45,47,1
46,48,2
47,49,3
48,50,2
49,52,1
50,53,1
51,54,1
52,55,1
53,56,1
